kelime,sıklık
asgari,84
ücret,45
enflasyon,25
ücretin,18
ücreti,14
lazım,13
işçi,12
rakam,12
rakamı,12
baktığınız,11
lira,10
zam,10
önümüzdeki,10
büyük,10
iyi,9
yılın,9
enflasyona,9
açıkçası,9
ücretler,9
hoş,8
yüksek,8
yılda,8
önemli,8
maaş,8
belirleniyor,8
yılında,7
sosyal,7
gerekiyor,7
ekonomi,7
beklenen,7
rakamlar,7
artış,7
düşük,7
işveren,7
genel,7
devlet,7
ulaşım,7
gıda,7
geldiniz,6
teşekkür,6
yüzden,6
şunu,6
geçim,6
yoksa,6
oranı,6
ücretle,6
enflasyonla,6
mücadele,6
bütün,6
ocak,6
pek,6
örnek,6
üzerinden,5
erdem,5
net,5
bekleniyor,5
civarında,5
enflasyonu,5
ilk,5
üzerinde,5
tek,5
etkisi,5
ücretleri,5
ayağı,5
dolar,5
bazında,5
primleri,5
yayınlar,4
ediyoruz,4
açıklanan,4
yıllarda,4
açısından,4
söylüyorum,4
sonunda,4
beklentisi,4
şeklinde,4
beklentilerin,4
bakarsanız,4
ücrete,4
taban,4
lirayı,4
maliyeti,4
anlamı,4
doğru,4
para,4
bunları,4
bizler,4
yapacak,4
bile,4
fırsatçılar,4
ayında,4
faruk,4
mete,4
şüphesiz,4
bilmem,4
dediğimiz,4
tarafına,4
bakacak,4
olursak,4
konut,4
olabilir,4
dünyada,4
belirlenen,4
borçlanması,4
özel,4
belirlendi,3
açıklandı,3
güvenlik,3
geceler,3
hemen,3
sizin,3
kısaca,3
almak,3
senin,3
matematik,3
matematiği,3
gerçekleşen,3
üstünde,3
rakama,3
tekabül,3
itibariyle,3
sene,3
medyada,3
konu,3
gösterge,3
ücretli,3
fark,3
ediliyor,3
oranda,3
mümkün,3
buluyor,3
birinci,3
düşüş,3
başladı,3
gelecek,3
asıl,3
geçtiğimiz,3
farklı,3
söyleyeceğim,3
merak,3
genellikle,3
görüyoruz,3
direkt,3
söyleyeyim,3
alan,3
sık,3
yoğun,3
üçte,3
vesaire,3
kısmı,3
ana,3
yapılacak,3
etiketleri,3
ciddi,3
kıymetli,3
ederim,3
uzmanı,3
istiyorum,3
murat,3
hocam,3
sohtaoğlu,3
muhtemelen,3
müdahale,3
neticede,3
çeşitli,3
pazar,3
günü,3
dan,3
eder,3
okulların,3
mesela,3
ceza,3
sert,3
seviyede,3
lik,3
ayda,3
belirlemeye,3
