kelime,sıklık
zam,9358
yeni,8456
lira,7607
asgari,7324
emekli,6705
büyük,6395
ilk,6234
enflasyon,6217
anda,6077
liraya,5914
ilgili,5577
olduğu,5548
para,5486
özel,5463
türkiye,5325
iyi,5098
aynı,5073
başkanı,4956
çıktı,4945
genel,4745
bile,4624
cumhurbaşkanı,4527
yüksek,4431
birlikte,4424
fazla,4331
milyon,4317
önemli,4287
kişi,4127
sosyal,4104
ücret,3983
tek,3941
başladı,3898
olduğunu,3854
başka,3827
ardından,3813
geçen,3735
vergi,3690
yaptı,3582
erdoğan,3576
bakın,3482
hemen,3481
düşük,3479
ortaya,3391
benim,3352
bakanı,3345
tam,3343
verdi,3311
altın,3274
istanbul,3263
gelen,3228
fiyatı,3214
lir,3185
fiyat,3162
kredi,3146
altında,3130
aylık,3068
içinde,3055
parti,3046
milyar,3036
hiçbir,2996
türk,2940
chp,2905
artış,2896
lazım,2841
doğru,2829
devlet,2777
haber,2769
aldı,2767
ayında,2749
olur,2737
mehmet,2726
sayın,2702
tarafından,2681
olması,2665
bütün,2610
sene,2585
gerçekten,2571
isa,2554
belediye,2540
türkiyenin,2531
dikkat,2530
üzerine,2529
israil,2505
yaklaşık,2491
kira,2472
güzel,2456
kaldı,2451
gerekiyor,2449
tane,2444
özgür,2440
durumda,2410
mesela,2410
fiyatları,2399
milli,2391
merkez,2380
söz,2370
üzerinden,2350
yıllık,2331
türkiyede,2319
edildi,2302
eğitim,2298
durum,2290
farklı,2252
geçti,2220
güvenlik,2215
birçok,2182
geri,2154
gelecek,2138
bakalım,2138
faiz,2135
zor,2130
üzerinde,2118
karar,2115
başkan,2104
seçim,2095
insanlar,2080
ana,2079
ilişkin,2068
dolar,2058
konusu,2053
liradan,2047
biliyorsunuz,2046
maaş,2040
fiyatlar,2039
günü,2029
bey,2006
kabul,2004
açıklama,2004
eski,1995
içerisinde,1984
oranı,1964
liralık,1960
maaşı,1957
maalesef,1931
istanbulda,1930
ikinci,1915
çalışma,1910
uzun,1905
ekonomi,1899
alan,1898
olmak,1887
yılında,1880
dün,1870
bakanlığı,1868
yeniden,1860
üzere,1849
araç,1849
tekrar,1841
temmuz,1840
memur,1838
hala,1829
olabilir,1806
ediyoruz,1787
yerine,1776
herkes,1774
şimşek,1774
gelir,1766
halk,1763
soru,1756
talep,1752
aile,1746
yönelik,1739
cumhuriyet,1733
yakın,1725
yapılacak,1711
arttı,1707
kadın,1702
adalet,1699
çocuk,1681
lideri,1681
sağlık,1678
maliye,1676
ona,1659
pahalı,1658
yılın,1651
yüzden,1647
hazine,1644
ciddi,1631
ücreti,1626
yurt,1610
tasarruf,1610
yılda,1592
sahibi,1580
ayı,1577
fark,1569
falan,1569
ceza,1547
bakan,1543
neler,1542
konut,1537
net,1536
polis,1535
kısa,1533
rağmen,1525
alındı,1523
emekliler,1520
kararı,1517
yapıyor,1516
yaşındaki,1513
ekonomik,1512
gitti,1505
tepki,1505
bak,1493
çıkan,1491
takip,1486
erdoğanın,1485
düştü,1484
meclis,1484
demek,1479
merak,1476
bence,1471
ankara,1470
altına,1465
yılı,1464
bizi,1464
enflasyonu,1462
pek,1455
partisi,1455
yemek,1454
hangi,1448
yükseldi,1442
önümüzdeki,1438
ocak,1434
yol,1431
edilen,1427
bankası,1423
adam,1420
dönemde,1420
sonrası,1416
nedeniyle,1416
fakat,1414
mümkün,1410
gidiyor,1410
demiş,1409
insan,1404
tespit,1404
büyükşehir,1403
destek,1395
geldik,1395
okul,1391
ediyorum,1387
şunu,1385
sonrasında,1384
yandan,1380
çıkıyor,1377
çalışan,1366
almak,1365
alıyor,1354
dışı,1354
zorunda,1351
iddia,1346
gram,1344
