kelime,sıklık
yeni,936
özel,829
zam,788
iyi,759
liraya,744
ilk,723
olduğu,628
büyük,621
anda,588
genel,579
çıktı,576
lira,548
başladı,544
aynı,537
emekli,518
para,503
ilgili,497
cumhurbaşkanı,493
ardından,488
benim,470
milyon,469
sosyal,467
birlikte,436
erdoğan,430
tam,426
asgari,425
bile,424
güzel,421
haber,420
başkanı,412
tek,407
içinde,399
enflasyon,398
fiyat,397
ortaya,394
verdi,393
ücret,390
gelen,390
fazla,382
yüksek,381
önemli,376
isa,373
geçen,368
olduğunu,357
kişi,350
olur,349
chp,348
istanbul,340
başka,338
aylık,336
parti,327
türkiye,324
belediye,323
fiyatı,322
altında,322
hemen,322
yaptı,319
memur,316
düşük,316
yaklaşık,312
aldı,307
lir,305
olması,303
kredi,300
geri,299
araç,289
artış,286
altın,285
eğitim,282
hiçbir,281
üzerinden,280
yaşındaki,279
liralık,275
kira,275
güvenlik,272
sene,266
tarafından,264
üzerine,260
kabul,260
maaşı,260
farklı,259
kaldı,259
geçti,257
sahibi,256
gerekiyor,251
bakanı,245
özgür,245
olmak,243
lazım,239
çalışma,239
genç,239
eski,237
yapılacak,237
ödeme,236
ücreti,236
büyükşehir,236
fiyatlar,233
fiyatları,233
dikkat,232
hayatını,232
günü,231
başkan,230
çocuk,229
okul,227
rağmen,225
bütün,222
doğru,222
fark,220
hava,220
alan,219
yakın,219
türk,216
tane,216
üzerinde,212
durumda,210
yıllık,209
talep,208
buraya,207
yol,206
chpli,205
istanbulda,202
milli,201
oranı,200
karar,199
gerçekten,199
söz,198
almak,198
çıkan,198
bence,196
iddia,196
beraber,195
herkes,195
devlet,194
ankara,194
maaş,192
konusu,188
üzere,187
destek,186
ayında,185
merkezinden,185
anne,184
milyar,182
bakanlığı,182
pek,182
beni,181
bakın,180
burası,180
yemek,179
ceza,179
rakam,178
sayın,178
süre,178
ayı,177
durum,177
edilen,175
aile,174
yerine,174
olabilir,173
polis,172
atv,172
önüne,172
erdoğanın,171
gelecek,171
inşallah,171
indirim,171
kadın,170
liradan,169
kısa,169
mehmet,168
ocak,167
falan,166
tekrar,166
uzun,166
ikinci,166
kurban,166
sonrası,165
birçok,164
türkiyenin,164
adı,163
adam,163
yeniden,163
edildi,163
tepki,163
altına,162
kimi,161
adım,161
alındı,160
kalan,156
kaç,156
geldik,156
girdi,155
haberin,155
bak,155
haberi,154
vergi,154
mesela,154
yılında,152
bayram,151
bağkur,150
sıcak,150
mücadele,150
ciddi,150
düştü,148
insanlar,148
israil,148
ediyoruz,147
temmuz,147
içerisinde,147
kız,147
çıkıyor,146
üstelik,145
refah,145
fahiş,144
gitti,144
yılı,143
istedi,143
uygun,143
etmek,143
yardım,143
can,143
iddiaya,142
çalışan,142
zor,142
hala,141
zorunda,141
açık,141
kaza,141
dönemde,140
merak,140
buradan,140
küçük,140
ssk,139
akşamlar,139
ettiği,138
yerde,138
kararı,138
kaybetti,138
düzenleme,137
kayıt,137
konut,137
alıyor,136
oranında,136
milyonlarca,136
emekliler,135
allah,135
sonuna,135
ona,134
yapıyor,134
gerçek,134
dünya,132
ana,132
abi,132
tüketici,131
gündeme,131
evde,131
boyunca,131
mayıs,129
araya,129
çıkacak,129
yaşanan,129
dakika,129
gece,129
yaşayan,129
tespit,128
yüzden,128
sahte,127
ağır,127
dün,127
belediyesi,127
ticaret,126
neredeyse,126
sonunda,125
hangi,125
düşünüyorum,125
ondan,125
istiyor,125
servis,125
medya,124
maalesef,124
mümkün,124
gram,124
ayrı,124
henüz,124
teslim,124
isteyen,124
aracın,124
deniz,124
getirdi,123
cumhuriyet,122
dahil,122
gel,122
farkı,121
pahalı,121
itibaren,120
biliyorsunuz,120
olursa,120
yaşandı,120
haziran,120
önümüzdeki,119
herhangi,119
işin,119
payı,119
verdiği,119
yönelik,119
durumu,119
yurt,119
özelin,118
işçi,118
bekliyor,118
istiyorum,118
faiz,118
gözaltına,117
yanında,117
ediyorum,117
hedef,117
okullar,117
insan,117
kesinlikle,117
buldu,116
tamam,116
aldığı,116
dolar,116
yükseldi,116
kat,116
başına,115
kar,115
hale,115
yasal,115
gereken,115
karşıya,115
promosyon,114
sonrasında,113
alıp,113
gözler,112
alacak,112
neler,112
dışı,112
gelir,112
kiracı,112
varsa,112
net,111
konusunda,111
merkez,111
demek,111
bizi,111
aracı,111
sık,111
maliye,111
sağlık,111
takip,110
gidiyor,110
yere,110
hayata,110
ekonomi,109
sürekli,109
yoğun,109
boş,109
lik,108
olsa,108
normal,107
aralık,107
kırmızı,107
yılda,107
bekleniyor,107
rakamlar,107
başta,107
bulunan,107
sabah,107
yılın,106
kontrol,106
emeklinin,106
teşekkür,106
