kelime,sıklık
zam,1407
lira,1106
emekli,1088
asgari,1051
liraya,852
enflasyon,715
düşük,566
lir,559
bile,464
maaşı,456
ücret,442
fiyatı,423
maaş,406
vergi,373
para,362
yüksek,352
aylık,334
yeni,303
ayında,297
geçen,288
kira,285
tane,272
liralık,263
liradan,263
milyar,262
kredi,262
sene,261
fazla,258
milyon,256
pahalı,254
artış,252
altında,250
özel,249
emekliler,248
tek,241
memur,241
anda,221
aynı,221
zor,216
enflasyonu,215
ilk,213
yılda,212
kişi,211
emeklinin,210
çıktı,207
yemek,207
büyük,204
benim,197
ayda,191
yıllık,190
fiyatlar,183
kilo,181
lazım,179
ekmek,178
yılında,176
fiyatları,175
gelir,170
isa,169
olduğu,169
iyi,165
hiçbir,163
kaç,162
yılı,162
oranı,161
ortalama,161
ocak,159
başka,157
ücreti,156
fark,155
olması,155
demek,153
kök,153
cumhurbaşkanı,152
emekliye,148
kilosu,148
ücretin,147
temmuz,147
zorunda,146
faiz,146
alıyor,145
açlık,145
bakın,144
istanbulda,143
devlet,143
ucuz,142
fiyat,142
mesela,142
alan,139
yaklaşık,139
dar,137
çalışan,137
gidiyor,137
erdoğan,137
ücrete,137
altın,137
liraydı,136
çıkıyor,136
ücretli,135
alım,135
gıda,134
lik,134
elektrik,134
falan,133
olur,132
liranın,132
merkez,132
başlıyor,132
istanbul,131
gelen,131
kaldı,130
dolar,128
türkiye,126
arttı,125
yükseldi,125
maliyeti,123
gram,123
lirayı,122
üzerinde,121
yetmiyor,117
sınırı,117
süt,117
mehmet,114
kuruş,114
enflasyonun,113
birlikte,112
durumda,111
tam,110
kişilik,110
gücü,110
yılın,110
bakanı,108
insanlar,108
türkiyede,108
gerekiyor,107
işçi,107
aldım,106
kuru,106
tüketici,106
ayı,105
yaptı,105
günlük,104
alıyorum,103
civarında,103
yakın,102
gelecek,102
maalesef,101
parti,100
içinde,99
farkı,99
çay,98
iktidar,97
rakam,97
geçim,96
vergisi,96
parası,95
lirayla,94
üzerine,94
aylığı,94
ilgili,93
bağkur,93
ücretle,93
neredeyse,93
başkanı,92
yapıyor,91
istiyor,91
alıyoruz,91
eğitim,89
günde,89
zamla,89
gelirli,89
aile,88
tüik,88
ssk,88
genel,87
yurt,87
artıyor,86
oranında,86
lüks,86
maaşına,86
temmuzda,86
bak,85
uygun,85
şimşek,84
sosyal,84
alacak,83
okul,83
çalışıyor,83
simit,83
almak,82
bütçe,82
den,82
bütün,82
zammı,82
aralık,81
bankası,81
emeklisi,81
hazine,80
güzel,80
kamu,79
başladı,79
hayat,78
araç,78
peynir,77
enflasyona,77
hemen,77
gerçekten,77
milyonlarca,76
destek,76
başına,76
yüzden,76
tarım,75
devletin,75
sınırının,75
seçim,75
