kelime,sıklık
enflasyon,842
zam,783
asgari,755
emekli,555
yeni,522
ücret,450
ayında,438
türkiye,433
şimşek,428
para,419
ilgili,406
lira,401
fiyat,385
vergi,384
yüksek,375
liraya,373
bakanı,372
merkez,371
genel,366
mehmet,356
ilk,348
maliye,342
başkanı,338
artış,335
aylık,334
hazine,322
önemli,309
büyük,308
milyar,303
özel,297
düşük,291
çalışma,279
ekonomi,274
anda,268
sosyal,264
milyon,260
dolar,258
ayı,256
yıllık,254
cumhurbaşkanı,252
ilişkin,251
aynı,250
bankası,249
geçen,248
fazla,247
temmuz,239
yönelik,239
kredi,235
memur,223
birlikte,220
olduğu,218
iyi,216
enflasyonun,213
bakalım,212
ocak,212
tek,208
kira,208
yaptı,205
faiz,201
fiyatı,199
konut,199
gelir,198
yılın,197
olduğunu,194
oranı,194
türkiyenin,193
ana,188
yapılacak,184
enflasyonu,179
olması,176
lazım,175
sayın,172
mesela,171
arada,170
türk,170
başka,169
liradan,167
sene,165
ikinci,164
oranında,163
fiyatları,163
verdi,162
lir,162
hemen,158
ciddi,156
arttı,153
yılında,153
günü,153
bekleniyor,153
bakanlığı,153
ekonomik,152
kamu,151
üzerinden,151
tarafından,150
ticaret,150
başladı,150
önümüzdeki,146
üzerinde,145
ardından,145
üzere,144
mayıs,144
gelecek,144
işçi,143
ücreti,143
yaklaşık,141
istanbul,140
doğru,139
dönemde,139
parti,139
altında,138
güvenlik,137
yılı,137
bakan,136
düzenleme,135
özgür,135
orta,133
erdoğan,132
artışı,131
tespit,130
isa,129
haziran,129
fiyatlar,128
açıklama,128
çıktı,126
bile,126
konusu,125
olur,125
önceki,125
gerekiyor,124
durum,124
seçim,123
yatırım,123
konuştu,122
içinde,122
enflasyonla,121
kişi,120
türkiyede,120
sınırı,119
chp,119
dikkat,118
kabul,118
talep,118
olmak,117
üzerine,116
politikası,115
itibaren,115
yılda,114
farkı,114
söz,114
mücadele,113
puan,113
büyüme,112
ayına,112
aralık,112
olabilir,112
gelen,112
kayıt,112
düşüş,111
biliyorsunuz,109
karar,109
vadeli,108
bankasının,108
sonu,108
istanbulda,108
ssk,108
ücretin,107
altına,107
benim,107
kurumu,107
ücrete,106
tam,105
maaş,105
bütün,104
edildi,104
gıda,103
bağkur,103
aldı,102
nedeniyle,102
durumda,101
destek,101
bütçe,101
yurt,101
takip,100
dezenflasyon,100
uzun,99
yılmaz,99
itibariyle,98
rakam,98
dair,98
yakın,98
tane,98
temmuzda,97
gerçekten,97
ortalama,97
tasarruf,97
dışı,97
çalışan,96
emeklilik,96
istatistik,96
farklı,95
edelim,94
ortaya,94
dış,94
tekrar,93
esnaf,93
dönem,93
konusunda,93
nisan,93
temel,93
enflasyona,92
yeniden,92
başkan,92
bulundu,92
içerisinde,91
fark,91
açık,91
sıkı,91
ediyoruz,90
aylığı,90
yardımcısı,90
açısından,89
kur,89
piyasa,89
araç,88
halk,88
vergisi,88
politika,87
bayram,87
işveren,86
başlıyor,86
cari,86
kanun,86
alacak,86
kurulu,85
falan,85
mart,85
alım,84
beraber,84
bekliyoruz,84
hiçbir,84
sayısı,84
altın,83
yapılması,82
net,82
edeceğiz,82
toplam,82
meclis,82
edilen,82
döviz,82
sonrası,81
şunu,81
bence,81
emeklilerin,81
ödeme,81
toplantısında,81
düşünüyorum,80
beklentisi,80
enflasyonda,80
üretim,80
araya,79
devlet,79
zor,79
işsizlik,77
fahiş,77
eğitim,77
bakacağız,76
yoğun,76
kapsamında,76
ağustos,75
küresel,75
dönemi,75
sona,75
cumhuriyet,75
tüketici,74
teşekkür,74
süt,74
sahibi,74
ona,73
medya,73
arasındaki,73
gündeminde,73
türkiş,73
yavaş,73
işaret,73
yükseldi,73
ayrıca,73
ihtiyaç,73
ramazan,73
yerde,73
ayda,72
kısa,72
sabit,72
uluslararası,72
cezası,72
artan,71
hoş,71
demek,71
süreci,71
resmi,71
bakın,71
gerektiğini,71
elde,71
şubat,71
insanlar,70
ediyorum,70
sizin,70
herkes,70
cevdet,70
ceza,70
gereken,69
pahalı,69
milli,69
yapacak,69
maaşı,69
düştü,69
haber,69
liralık,69
ilan,68
alınacak,68
den,68
ilave,68
emeklileri,68
eylül,67
birçok,67
çıkacak,67
millet,67
hizmet,67
kripto,67
kasım,66
gerçekleşti,66
ihracat,66
çekti,66
güçlü,66
alan,66
büyükşehir,66
geçti,66
sahte,66
yoksa,65
dahil,65
konu,65
ara,64
üretici,64
dolara,64
süre,64
kullandı,64
bekliyor,63
konuda,63
adalet,63
zorunlu,63
açıklamada,63
sistemi,63
değerlendirdi,62
birliği,62
döneminde,62
diyelim,62
yüzden,62
toplantı,62
