kelime,sıklık
bakın,479
lira,417
emekli,412
başka,404
ilgili,392
asgari,387
ilk,386
vergi,386
yeni,370
para,364
büyük,362
başkanı,359
milyon,346
olduğu,335
aynı,334
milyar,332
enflasyon,329
türkiye,324
kişi,317
biliyorsunuz,296
tek,287
çıktı,287
zam,282
türkiyede,272
hiçbir,268
türk,268
bile,265
demiş,261
bütün,257
özel,256
anda,255
eğitim,253
liraya,252
devlet,249
fazla,247
yüksek,237
tam,235
geçen,235
altın,235
içinde,233
genel,232
altında,232
kredi,232
önemli,230
iyi,228
hemen,225
gerçekten,224
olduğunu,222
belediye,216
ücret,216
parti,212
benim,208
birlikte,207
sosyal,206
chp,204
mesela,204
milli,204
halk,201
dolar,200
falan,198
tane,198
lazım,197
adalet,195
istanbul,194
yaptı,191
tarafından,187
bakanı,187
musunuz,183
cumhurbaşkanı,183
ortaya,180
erdoğan,178
narinin,176
aile,176
diyoruz,175
sayın,172
dedik,171
verdi,167
lir,167
hakikaten,166
yıllık,165
bakalım,163
insanlar,162
söz,161
aylık,160
narin,159
türkiyenin,159
zor,159
okul,157
bakanlığı,156
mehmet,154
haber,153
maalesef,151
gelen,150
birçok,150
ardından,150
ilişkin,150
gerçek,150
israil,150
üzerine,149
insan,146
başkan,145
güzel,145
arada,143
bütçe,143
üzerinden,142
seçim,140
soru,139
doğru,139
biliyor,139
açıklama,139
bak,138
aldı,137
ondan,137
olması,137
durum,136
karar,136
bakan,136
fakat,135
fiyatları,135
özgür,134
üzerinde,134
açlık,134
güvenlik,133
ayında,133
demek,133
güran,132
rağmen,132
düşük,132
savunma,132
tasarruf,132
geri,131
kabul,131
yemek,131
olabilir,130
arttı,130
gidiyor,129
ona,128
başladı,128
merkez,127
farklı,126
çocuk,126
edildi,125
hangi,125
tekrar,125
mustafa,124
demişti,123
konusu,122
yoksulluk,122
yapıyor,121
murat,121
olmak,120
artış,120
ekonomik,120
vatandaş,120
salim,119
eski,119
yılında,119
eylül,119
yılın,118
fiyatı,118
zorunda,117
ülkede,117
lideri,117
ekonomi,116
tanesi,116
günü,115
istanbulda,115
yılda,115
gelecek,114
alan,113
araç,113
gıda,113
kamu,113
herkes,112
ait,112
dün,112
ana,112
kaldı,112
sene,112
liradan,112
yaklaşık,111
buradan,111
dakika,111
orta,111
bizi,111
alındı,110
hala,110
iddia,110
yerine,109
eylülde,109
ediyoruz,107
yeniden,107
kartı,107
isa,107
pahalı,107
bilgi,105
itibariyle,105
nedir,105
diyorlar,104
sahte,104
sayısı,104
ayda,102
sizin,102
onların,100
sağlık,100
yüzden,99
talep,99
içerisinde,99
söylüyor,99
geçti,98
uzun,98
dünya,98
adam,97
çalışma,97
üzere,97
çıkıyor,97
başına,97
kadın,97
gelir,97
sınırı,97
enflasyonu,97
liralık,97
yaşam,97
ciddi,96
dikkat,96
bankası,96
fiyat,96
kararı,96
fiyatlar,96
alıyor,96
halkın,96
yakın,95
milletvekili,95
durumda,95
alım,95
önünde,95
dair,94
ediliyor,94
net,94
ülke,94
hayatını,94
maliyeti,94
görmek,93
düştü,93
kere,92
nedeniyle,92
beri,91
gözaltına,91
konu,91
olur,91
olay,90
toplam,90
tepki,90
yılı,90
kötü,89
istiyoruz,89
edilen,89
destek,89
maliye,89
siyasi,89
hak,88
faiz,88
konuda,87
hakkında,87
yardım,87
şeyler,87
etmek,87
gücü,87
cumhuriyet,86
almak,86
ekim,86
emekliler,86
cevap,85
partisi,85
yaşındaki,85
tarım,85
ferit,84
yaşında,84
gerekiyor,84
hava,84
kilo,84
takip,83
taraftan,83
adı,83
suç,83
can,83
çocuklar,83
zamanda,83
ağır,83
oranı,83
olsa,82
vatandaşın,82
yerde,82
öğrenci,82
günlük,82
bunları,81
resmi,81
önceki,81
gitti,81
polis,81
işçi,81
çağrı,81
sahip,81
konut,81
açık,80
istedi,80
üstelik,80
ceza,79
soruşturma,79
hayat,79
den,79
tahliye,79
durumu,79
bununla,79
tespit,78
istiyor,78
veriyor,78
çalışan,78
kolay,78
meclis,78
güranın,77
insanların,77
erdoğanın,77
üst,77
kent,77
maaş,77
verdiği,76
ettiği,76
mümkün,76
şeyi,76
iktidar,76
geçim,76
dilan,76
varsa,75
büyükşehir,75
mesele,75
burası,75
çalışıyor,75
hayır,75
kira,75
kemalin,74
ankara,74
şunu,74
küçük,74
sorun,74
altına,74
yardımcısı,73
temizlik,73
fark,73
kat,73
millet,73
göz,72
kaç,72
bahsediyoruz,72
hedef,72
gelelim,72
bakmak,72
ortalama,72
ayrı,71
diyen,71
yönelik,71
