kelime,sıklık
zam,1370
lira,1184
enflasyon,1150
asgari,1117
milyar,892
milyon,854
emekli,854
vergi,788
liraya,762
yeni,678
büyük,670
yüksek,626
para,624
ücret,593
aynı,559
türkiye,558
geçen,536
ilk,510
fazla,499
sosyal,462
ayında,456
olduğu,451
genel,449
tasarruf,448
kredi,444
aylık,437
lir,429
artış,428
önemli,418
özel,418
merkez,413
ilgili,412
düşük,411
birlikte,409
başkanı,404
altında,403
bile,402
çıktı,398
fiyat,394
mehmet,380
eğitim,373
anda,366
olduğunu,362
bakanı,354
fiyatları,353
yıllık,351
faiz,349
mesela,347
bakın,344
sene,341
tek,341
kişi,340
yılın,338
fiyatı,338
yılında,335
biliyorsunuz,333
durumda,331
dolar,331
oranı,329
istanbul,326
türkiyede,321
değerli,317
lazım,315
iyi,310
ekonomik,301
bütün,299
dikkat,299
şimşek,293
başka,287
ekonomi,285
arttı,285
enflasyonu,283
kamu,281
gelir,280
maaş,279
olması,278
bakalım,276
gelen,275
parti,274
sayısı,272
durum,270
oranında,269
belediye,269
yapılacak,267
yandan,267
chp,266
üzerinden,266
doğru,266
temmuz,265
ortaya,264
hazine,262
bütçe,261
kira,260
bakanlığı,260
ilişkin,257
liralık,257
yılı,256
maliye,255
tam,254
isa,254
izleyenler,252
türkiyenin,251
alım,251
enflasyonun,250
olur,250
gerçekten,250
gıda,249
yükseldi,245
altın,244
yurt,243
benim,243
cumhurbaşkanı,242
ayı,241
hiçbir,239
yılda,238
zor,238
vatandaş,238
alan,236
içerisinde,236
bankası,234
hemen,234
içinde,234
başladı,233
toplam,233
sayın,233
istanbulda,233
maliyeti,230
ardından,229
gelecek,229
liradan,229
yaklaşık,229
maaşı,227
üzerinde,224
konusu,223
gerekiyor,221
yaptı,220
önceki,219
devlet,217
söz,216
yoksulluk,216
açlık,215
halk,212
çalışma,211
aldı,211
tarafından,210
insanlar,210
milli,209
ocak,209
konut,209
ticaret,208
kaldı,207
bakan,207
ortalama,207
cumhuriyet,204
pek,202
elektrik,202
sağlık,201
zamanda,201
dönemde,200
çalışan,200
türk,198
fiyatlar,197
emekliler,197
araç,195
eylül,195
ücreti,192
sonu,191
pahalı,190
tane,190
ankara,189
tarım,189
sınırı,188
büyükşehir,187
dışı,184
demek,182
üzerine,181
açıklama,179
okul,179
ücrete,178
maalesef,178
seçim,177
çay,177
başkan,176
musunuz,174
güvenlik,174
karar,174
verdi,174
şunu,174
noktada,174
ana,173
bahsediyoruz,173
hangi,173
yönelik,172
farklı,171
edildi,170
emeklilik,170
geçti,169
diyelim,167
gereken,167
olmak,166
hizmet,166
herkes,166
aile,165
rakam,164
sonrasında,164
düzenleme,164
dedik,164
adalet,163
alıyor,163
ayda,162
konusunda,161
erdoğan,161
gidiyor,160
kuruş,160
emeklinin,159
geri,159
önümüzdeki,159
dair,158
kabul,158
yeniden,157
ücretin,156
fark,156
istiyoruz,156
ediyoruz,156
uzun,155
sizin,155
borç,155
yüzden,155
yakın,155
geçtiğimiz,155
talep,155
işsizlik,154
yerine,154
özgür,152
vatandaşın,151
beraber,151
destek,151
ekim,151
sanayi,150
falan,150
çiftçi,150
lik,150
yapılması,150
itibariyle,150
ikinci,149
tepki,149
tüik,149
elbette,148
geçim,148
tekrar,148
haziran,148
partisi,147
hale,147
hayat,146
bey,146
kartı,146
çocuk,146
işçi,145
birçok,145
yapıyor,145
ürün,144
çalışıyor,144
temel,143
milletvekili,143
tespit,142
beklentisi,142
sonunda,141
rakamları,141
gücü,140
ekmek,139
yemek,138
çekti,138
gerçek,137
rağmen,137
iktidar,137
bizler,137
bankasının,136
kamuda,136
borcu,136
söylüyor,135
ciddi,134
kapsamında,134
zorunda,134
sizlere,134
dile,134
bekleniyor,134
net,133
ona,133
ediyorum,133
memur,133
eski,132
üzere,132
kat,132
döneminde,132
dar,131
resmi,131
temmuzda,130
rakamlar,130
yaşam,130
önüne,129
neredeyse,129
kişilik,129
mücadele,129
artan,129
meclis,128
onların,128
elde,128
bunların,128
kayıt,128
biliyor,127
verilerine,127
gündeme,127
nedir,127
yavaş,127
puan,126
ağustos,126
günlük,126
haber,126
hala,126
taraftan,126
düşüş,125
günü,125
nedeniyle,124
yana,124
edilen,123
sonrası,123
yardımcısı,123
dün,122
karşıya,122
ton,121
güzel,121
kalan,121
zamlar,121
trilyon,120
enerji,120
grup,120
teşekkür,120
bağlı,119
varsa,119
yapmak,119
yol,118
gösterdi,118
millet,118
görüyoruz,118
çıkacak,117
diyorlar,117
buradan,117
enflasyona,117
durumu,116
üretim,116
insanların,116
lirayı,116
dolayı,116
işaret,116
zarar,115
orta,115
artışı,115
vergisi,115
çiftçinin,115
başına,114
mümkün,114
veriyor,114
ekranlarınıza,114
kur,113
bunları,113
cezası,113
belediyesi,112
kilo,112
aralık,111
ödeme,111
dışında,111
neler,111
altına,111
düştü,111
açık,110
yaş,110
ara,110
alınan,110
civarında,110
ceza,110
edeceğiz,110
öğrenci,110
kurban,110
emeklilerin,109
milyonlarca,109
doğalgaz,109
yoksa,109
olmaz,108
sabit,108
ait,107
konuda,107
sorun,107
ülke,107
den,107
olsa,107
ayına,106
lirası,106
pazar,106
artıyor,105
günlerde,105
aldığı,105
mayıs,105
etmek,105
sahip,105
arada,105
bizi,104
almak,103
liranın,103
tahmin,102
ülkede,102
ucuz,102
konuşuyoruz,102
alacak,102
aylığı,102
devletin,102
verilen,102
payı,102
araya,101
üretici,101
öte,101
yanında,101
aya,100
itibaren,100
herhangi,100
kara,100
bence,100
temizlik,100
gitti,99
ankarada,99
kararı,99
açıklandı,98
parası,98
diyoruz,98
geçinemiyoruz,98
insan,97
savunma,97
kısa,97
dediğimiz,97
dış,97
çıkıyor,97
sahibi,97
kurumu,96
dolara,96
yerel,96
işin,96
tüketici,96
tanesi,96
harcama,96
söyleyeyim,96
ağır,95
konuşuluyor,95
konu,95
ondan,95
oranları,95
sebebi,95
indirim,95
çıkan,94
olmayan,94
kaç,94
hoş,94
gelsin,94
bak,94
prim,94
partili,93
chpli,93
politikası,93
bakanlığının,93
diyanet,93
servis,93
ila,93
satış,92
merak,92
konuştu,92
yapacak,92
süt,92
soru,92
başlıyor,92
ediliyor,91
kar,91
vadeli,91
lüks,91
buraya,91
başında,91
mal,91
politika,91
bedeli,91
arasındaki,91
hakikaten,91
avrupa,90
medya,90
farkı,90
hak,90
çözüm,90
yanlış,90
paketi,90
öğretmen,90
dünya,89
başta,89
şimşekin,89
gündemde,89
yılmaz,89
kötü,89
girdi,89
açıklanan,88
yerde,88
sıkıntı,88
yönetim,88
altını,88
ücretli,87
onlara,87
küçük,87
sınırının,87
olunca,87
sistemi,87
işçiler,87
şirket,86
vesaire,86
oran,86
siyasi,85
verileri,85
hedef,85
vergide,85
mart,84
veriler,84
inşallah,84
yatırım,84
emekliye,84
takip,84
gerektiğini,84
sık,84
lirayla,83
şeyler,83
kimse,83
birleşik,83
üst,83
şeyi,83
kriz,83
bulundu,83
çıkmış,83
yapılıyor,83
verildi,83
yeterli,83
olmadığını,83
borçları,82
uygun,82
düşünüyorum,82
tüikin,82
olumlu,82
gelin,82
çocukların,82
enflasyonla,82
aşağı,82
dönem,82
edelim,81
piyasa,81
ken,81
bayram,81
