kelime,sıklık
altın,179
zam,75
lira,75
anda,74
gram,71
kira,71
yeni,68
liraya,63
fiyatlar,62
enflasyon,61
fiyatları,56
kurban,52
geçen,50
lir,48
kredi,47
iyi,47
liradan,46
fiyat,45
yüksek,42
olduğu,42
fiyatı,42
başladı,40
düşüş,40
emekli,40
altında,40
tane,39
büyük,38
fazla,38
düşük,37
pahalı,36
para,36
dolar,35
asgari,35
ilk,34
artış,34
yıllık,33
oranı,32
sene,31
başkan,31
erdoğan,31
kilo,31
kartı,31
tam,30
aldım,30
üzerinden,29
milyon,29
nakit,29
temmuz,29
palamut,28
uygun,27
türkiye,27
lazım,27
merkez,27
yükseliş,27
olur,27
kaldı,26
aylık,26
birlikte,25
mesela,24
dikkat,24
özel,23
durum,23
aynı,23
maliye,23
sahipleri,23
ayında,23
milyar,23
bayram,23
değer,23
faiz,23
konut,23
balık,23
yükseldi,22
hiçbir,22
vergi,22
kiracı,22
haber,21
rekor,21
bile,21
olması,21
bakanı,21
geçti,21
memur,21
banka,21
arttı,20
ekonomi,20
başlıyor,20
abi,20
tercih,20
yapılacak,20
maaşı,20
sahibi,20
ceza,20
indirim,19
alışveriş,19
genel,19
hazine,19
verdi,19
düştü,19
bekliyor,19
euro,19
ücret,19
elden,19
durumda,18
allah,18
hayvan,18
karar,18
itibariyle,18
bisiklet,18
ikinci,17
yaklaşık,17
yatırım,17
çeyrek,17
mehmet,17
şimşek,17
aldı,17
tek,17
inşallah,17
maaş,17
sonunda,17
ardından,17
altına,17
önemli,17
çalışma,17
döviz,17
oranında,16
düşünüyorum,16
gidiyor,16
gördü,16
geriledi,16
ödeme,16
sayın,16
liranın,16
artışı,16
yılında,16
normal,15
bence,15
lirayı,15
insanlar,15
geldik,15
bağkur,15
alacak,15
bankası,15
çıktı,15
talep,15
güzel,15
resmi,15
girdi,15
olabilir,14
hareketlilik,14
döndü,14
altının,14
ona,14
ilgili,14
yerini,14
mal,14
küçük,14
kaç,14
aldık,14
ayı,14
uzun,14
ankara,14
ocak,14
çekti,13
dolayı,13
falan,13
isa,13
çıkıyor,13
yarım,13
yılın,13
günler,13
bayağı,13
gözler,13
günlük,13
olduğunu,13
aldınız,13
sayısı,13
seviyesine,13
piyasalar,13
gelir,13
sabit,13
yeniden,13
usta,13
kayıt,13
satış,12
değişiyor,12
ücreti,12
farkı,12
içinde,12
hareketlendi,12
ondan,12
gerçekten,12
alıyorum,12
ortalama,12
haberimizde,12
istanbul,12
hayırlı,12
ladan,12
gerekiyor,12
enflasyonu,12
liralık,12
benim,12
olmaz,12
alım,12
geçiş,12
sonu,12
sosyal,12
kilosu,12
doğum,12
düşüşe,12
olsa,12
kiralık,12
fiyatlarındaki,12
savunma,12
başkanı,11
otomobil,11
almak,11
hareketli,11
söz,11
hangi,11
takip,11
tersine,11
yakın,11
araç,11
doğru,11
türkiyede,11
önceki,11
ekonomik,11
kişi,11
düşünüyoruz,11
parti,11
ucuz,11
ssk,11
gözü,11
yapacak,11
gelen,11
seyirciler,11
hemen,11
tekrar,11
diyelim,11
haftaya,11
alıyor,11
geçtiğimiz,11
sonrası,11
üzerinde,11
yurt,11
yemek,11
olanlar,10
üzerine,10
geri,10
internet,10
piyasa,10
lik,10
sayılı,10
yaptı,10
bakalım,10
baş,10
eski,10
mümkün,10
kaybetti,10
gerçek,10
herhalde,10
zor,10
bankasının,10
kabul,10
orta,10
herkes,10
kanal,10
vallahi,10
sözleşme,10
kuzu,10
seviyesinde,10
fiyatlarında,10
hurma,10
ankarada,10
