kelime,sıklık
lira,647
bin,587
altın,394
yeni,261
liraya,230
faiz,218
asgari,203
zam,196
başladı,195
enflasyon,190
para,183
yüksek,177
düşük,170
çıktı,169
emekli,162
ikinci,162
birlikte,154
fazla,149
gram,149
konut,145
anda,143
milyon,142
ilk,139
artış,134
özel,134
kişi,132
aylık,129
ücret,128
altında,128
olduğu,127
kredi,122
fiyatları,116
bile,116
aynı,114
fiyat,114
polis,113
iyi,111
ardından,110
liralık,108
önemli,105
geçen,105
merkez,104
yüzde,102
kira,100
fiyatı,100
yatırım,99
araç,98
ilgili,97
liradan,93
mevduat,92
içinde,91
üzerinde,89
arttı,88
büyük,88
kaldı,86
memur,86
düştü,86
fiyatlar,85
sıfır,85
sosyal,84
temmuz,83
dolar,83
fark,83
doğru,82
tam,81
rekor,80
verdi,80
yıllık,79
yaklaşık,79
maaşı,79
yaptı,79
gerekiyor,78
ayında,78
girdi,78
uzun,77
dikkat,76
borsa,76
üzerine,74
hemen,73
geçti,73
altına,73
oranı,72
bakanı,72
günü,72
sonrası,72
aldı,71
ortalama,70
maaş,70
düzenleme,70
indirim,69
vergi,68
uzmanlar,68
talep,67
bakalım,67
tek,67
türk,67
yılda,66
olması,66
bankası,66
kısa,66
ayı,65
çalışma,65
yaşandı,65
gelen,64
yılın,64
geri,63
yükseldi,63
ortaya,63
karar,63
almak,62
genel,62
cumhurbaşkanı,61
güvenlik,60
sahibi,59
otomobil,59
gelin,59
olur,58
yapılacak,57
lirayı,57
elde,57
gözaltına,56
başkanı,56
durumda,56
örneğin,56
söz,55
vadeli,55
sonunda,55
benim,55
süre,55
tercih,55
ücreti,54
başka,54
kadın,54
çıkan,54
durum,54
tespit,53
dün,53
farklı,52
chp,52
olduğunu,52
yüzden,52
kararı,52
edildi,51
birçok,51
rakam,50
banka,50
lideri,50
yaşındaki,50
istanbul,50
genç,50
zor,50
herkes,50
eski,50
düşüş,50
sonu,49
bankalar,49
tekrar,49
kişinin,49
alındı,49
yılında,49
kaza,48
yemek,48
uzmanlara,47
yeniden,47
sağlık,47
civarında,47
üzerinden,47
tarafından,47
sene,47
kabul,47
çeyrek,47
önümüzdeki,46
yurt,46
okul,46
farkı,46
uygun,46
lazım,45
konusu,45
yatırımcı,45
gitti,45
gözü,45
elektrik,44
içerisinde,43
hazine,43
sevgili,43
aşağı,43
alışveriş,43
yerine,43
liranın,43
olanlar,43
değer,42
işlem,42
devlet,42
gelecek,42
hiçbir,42
seyirciler,42
bakanlığı,42
kavga,42
ara,42
seçim,42
erken,41
ayda,41
başlıyor,41
olabilir,41
gördü,41
çıkıyor,41
getiri,41
bekleniyor,41
aracı,41
buldu,41
nedeniyle,41
bütün,41
olsa,41
lik,41
yılı,40
yükseliş,40
ceza,40
gelir,40
dışı,40
faizi,40
takip,40
ciddi,40
dönem,40
ediyoruz,39
günlük,39
almaya,39
itibariyle,39
istedi,39
anlar,39
kripto,39
ödeme,39
pahalı,39
artışı,38
yansıdı,38
görüyoruz,38
kartı,38
sabit,38
sahipleri,37
milyar,37
altının,37
hızlı,37
tlye,37
altındaki,37
mehmet,37
oranında,37
ateş,37
alan,37
dört,37
ucuz,37
satış,37
artı,37
tüketici,37
dönemde,36
maliye,36
erdoğan,36
adam,36
darp,36
araya,36
önüne,36
önceki,36
yapmak,35
aile,35
bakın,35
döviz,35
hastaneye,35
yere,35
aralık,35
alacak,34
ücrete,34
yana,34
türkiye,34
yol,34
kaybetti,34
dolayı,34
sürücü,34
serbest,34
geriledi,34
maliyeti,34
güzel,33
anne,33
özgür,33
çekti,33
getirisi,33
tepki,33
olay,33
enflasyonun,33
olmak,33
ocak,33
yanıt,32
istanbulda,32
gece,32
rağmen,32
vedat,32
duyurdu,32
gerçek,32
çarptı,32
kırdı,32
eğitim,32
araba,32
seviyesinde,32
artıyor,32
kayıt,32
olmadı,32
altını,32
satışları,32
borsada,32
kuruş,31
gören,31
hayatını,31
beraber,31
kontrol,31
akşam,31
üst,31
yıla,31
tabi,31
eve,31
sayısı,31
gözler,31
yapıyor,30
yakın,30
şimşek,30
lirası,30
seviyesine,30
tane,30
geçtiğimiz,30
yerde,30
tartışma,30
falan,30
açıklandı,30
aldım,30
parası,30
ürün,30
kök,30
vadede,30
neredeyse,29
ona,29
yabancı,29
değişiyor,29
alım,29
ettiği,29
bekliyor,29
bankasının,29
oranları,29
koştu,29
kendini,29
alıyor,29
emekliler,29
ikisi,29
insanlar,29
üstüne,29
arasındaki,29
kat,29
arsa,29
kalan,29
parayı,28
başında,28
aldığı,28
başkan,28
ayın,28
milli,28
ayrı,28
çocuk,28
çalıştı,28
mümkün,28
kimse,28
haber,28
aracın,28
medya,28
yeri,28
hala,28
orta,28
yaralandı,28
araçlar,28
oldukça,28
amerikan,28
toplam,28
fiyata,28
hisse,28
herhangi,28
zorunda,28
hesap,28
hangi,28
durumu,27
bence,27
piyasada,27
etmek,27
günlerde,27
edilen,27
istiyor,27
ayrıca,27
vergisi,27
bulundu,27
güvenli,27
den,27
döndü,27
sonrasında,27
polise,27
iddiaya,27
cezası,27
kaç,27
fakat,27
kampanyalar,27
mutlaka,27
küçük,27
altı,27
görüldü,27
piyasası,27
yatırımcılar,27
türkiyede,27
trumpın,27
ağustos,27
aylığı,27
isteyenler,27
yapay,27
kiracı,26
evde,26
rakamlar,26
günde,26
yüz,26
liraydı,26
yardımcısı,26
toplantı,26
parti,26
önünde,26
şüpheli,26
kaldırıldı,26
şikayetçi,26
kapalı,26
edin,26
sektör,26
yasal,25
euro,25
hayli,25
ilişkin,25
hakkında,25
haziran,25
hareket,25
nedeni,25
sürekli,25
ana,25
polisi,25
anlattı,25
ediyorum,25
kasım,25
henüz,25
elinde,25
eylem,25
ihtiyaç,25
tarihi,25
ticaret,25
trump,25
toplantıda,25
düşünüyorum,24
beklenen,24
enflasyonu,24
faizleri,24
geçerli,24
gereken,24
hızla,24
soruşturma,24
birbirine,24
hesabı,24
haberi,24
yukarı,24
nakit,24
cep,24
evin,24
yavaş,24
fırsat,24
karşıya,24
mahkeme,24
borcu,24
görüyor,24
yükseliyor,24
harekete,23
sayın,23
milyonlarca,23
hale,23
bankaların,23
tablo,23
yükselecek,23
vatandaş,23
gerçekleşti,23
ekipler,23
çoğu,23
öğrenci,23
gerçekten,23
bağlı,23
genelde,23
sinan,23
tuttu,23
binlerce,23
ilan,23
puan,23
itibaren,23
kwh,23
mal,23
kuruştan,23
promosyon,23
başına,22
zarar,22
maalesef,22
beş,22
yoksa,22
çalışan,22
vade,22
ulaştı,22
hoş,22
edeceğiz,22
hak,22
kadının,22
yüzünden,22
esnaf,22
annesi,22
satın,22
fiyatlarında,22
olursa,22
ankara,22
fiyatların,22
devreye,22
uygulama,22
mesela,22
tasarruf,22
işçi,22
bedeli,22
lirayla,22
gümrük,22
ücretin,22
kazandırdı,21
boyunca,21
isteyen,21
alıp,21
güne,21
yaşanan,21
saldırgan,21
indi,21
açık,21
iddia,21
dakika,21
maç,21
artan,21
hedefi,21
kara,21
diyerek,21
mecliste,21
varan,21
borsaya,21
noktada,21
aralarında,21
kimi,21
detaylar,21
kiralık,21
kart,21
kalıcı,21
faizle,21
uygulanacak,21
resmi,21
satışlar,21
emeklilik,21
talebi,20
haftada,20
işaret,20
ödeyecek,20
grup,20
söylüyor,20
mücadele,20
bakan,20
zamanda,20
temmuzda,20
başlayan,20
sürdü,20
teklif,20
hizmet,20
beyaz,20
kız,20
verildi,20
taraflar,20
silah,20
eşi,20
ağır,20
