kelime,sıklık
yeni,638
zam,547
çıktı,516
anda,506
para,478
başladı,466
iyi,450
benim,426
ilk,399
özel,398
emekli,394
abi,373
büyük,366
lira,361
yaptı,356
aynı,356
liraya,354
olduğu,349
cumhurbaşkanı,348
bile,335
tek,335
verdi,327
erdoğan,325
kadın,325
aldı,322
asgari,318
hemen,302
adam,295
tam,292
altın,289
bakın,285
sosyal,281
güzel,260
tane,258
olduğunu,257
yüksek,254
iddiaya,253
kişi,251
enflasyon,248
içinde,248
istanbul,248
birlikte,246
chp,245
fazla,244
kaldı,244
fiyatı,242
milyon,238
olur,234
gelen,231
fiyat,221
dikkat,219
haber,219
isa,218
araç,218
ortaya,217
hiçbir,217
geri,217
yaklaşık,216
lideri,216
türkiye,214
düşük,208
genel,206
gitti,201
sıcak,200
sahibi,199
beni,193
fiyatları,192
izleyenler,191
geçen,188
özgür,187
eski,186
çıkan,185
bak,184
yaşındaki,184
polis,183
başka,182
ücret,181
lir,181
bütün,180
herkes,179
lazım,178
kredi,177
fiyatlar,174
doğru,174
başkanı,171
değerli,170
genç,170
ilgili,170
sene,169
yıllık,169
buraya,169
burası,168
geldik,166
bayram,166
gel,165
ardından,164
aylık,164
yaşandı,164
falan,161
zor,160
dün,160
ceza,158
olması,153
altında,150
türk,150
düştü,149
girdi,149
sonrası,147
karar,146
pahalı,145
bence,145
aile,145
yaşayan,145
istedi,144
gerekiyor,144
parti,144
güvenlik,144
fark,143
allah,143
çocuk,141
gece,141
ona,140
geçti,139
üzerine,138
kimse,137
ayında,136
liralık,136
kira,135
ikinci,135
kimi,135
öne,134
dedim,134
maaşı,133
gerçekten,131
akşamlar,131
günü,130
yerine,130
alan,130
bakanı,129
kilo,128
edildi,126
tepki,125
tarafından,124
üzerinde,124
talep,123
kurban,123
yere,123
üzere,122
maaş,120
kabul,119
farklı,119
üzerinden,119
türkiyenin,119
milli,118
günün,118
sonuna,117
aşağı,117
uygun,117
olunca,116
almak,116
sonunda,116
küçük,116
insanlar,115
alındı,115
buradan,115
kız,115
başkan,114
sahte,114
önemli,113
istanbulda,113
sabah,113
polat,113
kötü,112
yol,111
arttı,111
tatil,111
bakan,110
yeniden,110
merak,110
tamam,110
mehmet,110
seçim,110
hala,110
artış,109
kısa,109
adım,108
birçok,108
liradan,107
uzun,107
altına,106
temmuz,106
belediye,106
memur,105
elektrik,105
tekrar,105
erdoğanın,105
kararı,104
kaç,104
yurt,104
ara,104
onları,104
yapıyor,103
diyen,102
tahliye,102
bizi,102
akşam,102
bekleniyor,101
durumda,101
başına,101
inşallah,101
adeta,101
şov,101
gösterdi,100
süre,100
düzenleme,99
ondan,99
olmaz,98
çalışma,97
anlattı,97
oranı,97
yemek,97
haberden,97
gidiyor,96
üstüne,96
ünlü,96
cezası,96
hırsız,96
evde,95
evi,95
vergi,95
yerde,95
sana,95
olay,95
dilan,95
tespit,94
gram,94
merkez,94
çeken,94
çocuklar,94
aldım,93
buldu,93
suç,93
hakkında,92
bağkur,92
yüzden,92
kalan,92
isyan,92
medya,92
derken,91
ssk,91
ankara,91
açıklama,90
yanıt,90
yaşadı,90
tercih,90
istiyorum,90
attı,90
boş,89
beraber,89
esnaf,89
devlet,88
gelecek,88
yakın,88
kaçtı,88
olabilir,88
can,88
çekti,87
anne,87
kara,87
medyada,87
edilen,86
durum,86
ediyoruz,86
lirayı,86
maalesef,86
isteyen,86
gelin,86
alıp,86
dolu,86
bina,86
yapılacak,85
insan,85
yükseldi,85
neyse,85
gözaltına,85
dolayı,84
şikayetçi,84
sağ,84
etmek,84
müşteri,84
yoktu,84
dolar,83
yapmak,83
olsa,82
bakanlığı,82
günlerde,82
alıyor,82
çıkıyor,82
faiz,82
ediyorum,82
gerçek,82
içine,82
mhp,82
türkiyede,81
ekonomi,81
parayı,81
aktaracağız,81
nedeniyle,80
takip,80
kritik,80
açtı,80
pek,80
olmadı,80
mesela,80
iddia,80
sayın,80
yıldır,79
olmak,79
getirdi,79
istiyor,79
ekipler,79
öncesi,79
telefon,79
ali,79
lütfen,79
sürekli,78
rağmen,78
başlayalım,78
grup,78
bulundu,78
düşünüyorum,77
dışı,77
açık,77
haberin,77
kilosu,76
boyunca,76
baba,76
teslim,76
emekliye,75
normal,75
mümkün,75
başlıyor,75
yardım,75
düğün,75
döndü,75
dediler,75
dava,75
konut,74
araba,74
alacak,74
eve,74
hazine,74
hava,74
milyonlar,73
ucuz,73
bakalım,73
çalışan,73
refah,73
milyar,73
kere,73
erken,73
haberi,73
göz,73
zarar,72
ayı,72
günde,72
bıraktı,72
konuştu,72
sizin,72
yaşında,72
dakika,72
gelir,71
sıra,71
ortalama,71
ücrete,71
varsa,71
verdiği,71
işi,71
herhangi,71
ağır,71
yoğun,71
acı,71
kendini,71
saatte,71
hastaneye,71
mesajı,70
geçtiğimiz,70
kiracı,70
önünde,70
maliye,70
hayır,70
hadi,70
yakalandı,70
önüne,69
zamanda,69
hayata,69
gidip,69
rahat,69
yaz,69
olmadığını,69
alışveriş,69
dünya,69
sokak,69
hale,68
zorunda,68
sonu,67
almaya,67
giren,67
görüntüler,67
açıldı,66
destek,66
lik,66
yılında,66
net,66
evine,66
yanında,66
araya,66
ederken,66
diyorlar,66
türlü,66
başlıklarını,66
sürücü,66
çaldı,66
bekliyor,65
artan,65
beri,65
ettiği,65
günlük,65
gözler,65
şok,65
ankarada,65
sağlık,65
gören,65
eşi,65
kaçak,65
tarihi,64
şeyi,64
ücreti,64
giden,64
kök,64
deniz,64
ele,64
mücadele,64
ayrı,64
ifadesini,64
seni,64
show,64
görüşmek,64
önceki,63
kırmızı,63
gelip,63
çeyrek,63
ticaret,63
tuttu,63
yüzünden,63
yerel,63
hal,63
gözü,63
aldık,63
aldığı,63
sert,63
hayatını,63
farkı,62
açıklaması,62
hayvan,62
yerinde,62
türkiyeye,62
ödeme,62
ait,62
söz,62
mahkeme,62
kadının,62
kalın,62
bayraktar,62
trafik,62
şüpheli,62
otomobil,61
payı,61
kartı,61
yavaş,61
çalışıyor,61
arkadaş,61
yanına,61
kesinlikle,61
bilmiyorum,61
başı,61
şimşek,61
bastı,61
pazar,61
bahçeli,61
geldim,61
yan,61
çift,61
yapmaya,60
kapalı,60
çıkardı,60
neredeyse,60
sahipleri,60
dönemde,60
onlara,60
veren,60
park,60
yapacak,60
veriyor,60
üstelik,60
kullandı,60
yardımcısı,59
sona,59
yılda,59
yerini,59
işin,59
yıla,59
kalmadı,59
oradan,59
onların,59
bayağı,59
yana,59
orta,59
yoksa,59
ilginç,59
denize,59
murat,59
ürün,58
gördü,58
sefer,58
lüks,58
mutlu,58
sıkıntı,58
usta,58
yılın,58
fakat,58
emekliler,58
ekmek,58
mağdur,58
meclis,58
diyerek,58
kaza,58
engin,58
şikayet,57
emeklinin,57
rekor,57
aydır,57
rakam,57
başında,57
bulunan,57
dışarı,57
ilan,57
taş,57
euro,57
sahip,57
teşekkür,57
tehdit,57
ekipleri,57
yaşlı,57
hoşça,57
market,56
araçlar,56
yılı,56
çıkacak,56
okul,56
milyonların,56
telefonu,56
normalde,56
kişinin,55
emeklisi,55
ailesi,55
neler,55
mesaj,55
herhalde,55
hesap,55
etmeye,55
beyaz,55
banka,55
senin,55
evden,55
savunma,55
evin,54
vallahi,54
oraya,54
kar,54
ateş,54
ortak,54
anlar,54
yangın,54
çek,54
sıfır,53
gerek,53
indirim,53
ziyaret,53
içerisinde,53
genelde,53
vermek,53
herkesin,53
harekete,53
bitti,53
deprem,53
oyun,53
sakinleri,53
gayet,53
sizi,53
markette,52
kuru,52
artışı,52
cep,52
tanesi,52
aracı,52
evinde,52
çalıştı,52
annesi,52
maliyeti,51
yansıdı,51
arada,51
gıda,51
enerji,51
hangi,51
örneğin,51
yatırım,51
hızlı,51
döviz,51
yanlış,51
olmadığı,51
resmi,51
mal,51
baktım,51
adı,51
satın,51
karıştı,51
görünce,51
yaptık,51
hande,51
oranında,50
işaret,50
önümüzdeki,50
sayısı,50
enflasyona,50
gündeme,50
vatandaş,50
kat,50
tamamen,50
erkek,50
yaptım,50
ciddi,50
yolu,50
arkadaşı,50
edip,50
şehit,50
beklenen,49
elinde,49
binanın,49
aradı,49
işçi,49
bankası,49
parasını,49
ramazan,49
servis,49
tasarruf,49
yarım,49
herkesi,49
istiyoruz,49
arkadaşlar,49
verildi,49
aynen,49
karşısında,49
vurdu,49
yasa,49
karşıya,49
bey,49
ortasında,49
davası,49
üretici,48
değişiyor,48
diyorum,48
değişti,48
gördüm,48
henüz,48
şeyler,48
yola,48
dur,48
adamın,48
gittim,48
musunuz,48
koştu,48
eylem,48
sevgili,48
hırsızlık,48
günler,47
kişilik,47
ayda,47
bunları,47
gelince,47
eğitim,47
sürpriz,47
gizli,47
ver,47
ikisi,47
mahalleli,47
arasındaki,46
çağrısı,46
ocak,46
altını,46
sorun,46
itibaren,46
bütçe,46
sık,46
apartman,46
yapıyoruz,46
imza,46
yapmış,46
gününde,46
ederim,46
gelmişti,46
yolcu,46
maç,46
ihbar,46
burayı,46
müdahale,45
olacağız,45
olanlar,45
çoğu,45
halde,45
dünyanın,45
sürdü,45
emeklilik,45
halk,45
başlayan,45
doktor,45
internet,45
oldukça,45
otobüs,45
kardeşim,45
asla,45
partisi,45
kendisi,45
nefes,45
narin,45
direkt,44
düşen,44
kontrol,44
dört,44
kadınlar,44
hedef,44
oldum,44
oğlum,44
üst,44
büyükşehir,44
seviyesinde,44
yaşanan,44
tavuk,44
den,44
bunların,44
bayramı,44
olursa,44
aracın,44
değildi,44
kemal,44
şaşırdı,44
bebek,44
ses,44
yasak,44
arama,44
çözüm,43
ufak,43
erdoğana,43
özelin,43
olmuştu,43
dışında,43
inanılmaz,43
kalp,43
koca,43
talihsiz,43
polise,43
hapis,43
enflasyonun,42
rakamlar,42
enflasyonu,42
gereken,42
gündür,42
sürede,42
toplam,42
borç,42
olmayan,42
krizi,42
üstünde,42
süren,42
yapacağız,42
konusu,42
devreye,42
verilen,42
siyasi,42
kesildi,42
yolunu,42
cumhur,42
güne,42
yazık,42
sokağa,42
tarih,42
yapıp,42
içeri,42
jandarma,42
normalleşme,42
amca,42
kaybetti,42
ekibi,42
bomba,42
çifti,42
kızı,42
narinin,42
alıyoruz,41
koydu,41
liranın,41
nakit,41
inşaat,41
yaparken,41
yeri,41
yapılıyor,41
yapıyorlar,41
çıkmış,41
gündemde,41
gelmiş,41
ana,41
ettim,41
ailenin,41
çocuğu,41
ediliyor,41
kendine,41
israil,41
metre,41
cezaevine,41
yıkıldı,41
yılmaz,40
masaya,40
