kelime,sıklık
zam,1963
yeni,1953
asgari,1780
emekli,1587
büyük,1489
lira,1471
türkiye,1461
başkanı,1438
ilk,1374
bile,1353
para,1351
cumhurbaşkanı,1269
iyi,1213
bakın,1207
olduğu,1190
özel,1159
ilgili,1158
başka,1142
erdoğan,1124
anda,1112
bey,1103
genel,1102
enflasyon,1089
aynı,1035
vergi,960
kişi,958
sayın,940
önemli,925
çıktı,922
birlikte,920
ardından,904
soru,896
bakanı,885
sosyal,884
haber,882
seçim,880
tek,878
milyon,867
demiş,865
olduğunu,849
hiçbir,848
liraya,827
benim,826
chp,824
insanlar,811
ücret,809
olur,792
yaptı,791
mehmet,790
adalet,787
bakalım,759
gerçekten,758
devlet,755
verdi,745
belediye,744
yüksek,742
fazla,739
parti,725
istanbul,716
ortaya,716
gerekiyor,695
türk,690
mesela,686
gelen,684
geçen,680
maalesef,678
tam,676
türkiyenin,669
milli,669
özgür,668
güzel,666
içinde,655
doğru,640
sözcü,627
türkiyede,626
zor,625
kaldı,625
geldik,623
lazım,618
ekonomi,617
başladı,609
hala,607
gelecek,606
altında,593
hemen,591
kredi,588
bak,582
tarafından,576
eğitim,574
erdoğanın,573
tasarruf,566
durumda,565
lir,565
eski,562
düşük,562
üzerine,561
başkan,559
partisi,548
iktidar,548
üzerinden,546
aldı,544
meclis,542
ana,532
geçti,532
olması,527
lideri,526
sene,525
karar,525
ekonomik,521
günü,520
tane,520
geri,519
emekliler,519
edildi,512
açıklama,512
milyar,511
ülkede,499
mesaj,494
halk,494
akp,491
bizi,491
farklı,490
hangi,476
merkez,475
içerisinde,474
can,472
kabul,468
gelir,465
millet,464
dün,463
olabilir,461
milletvekili,461
biliyorsunuz,457
neler,452
isa,451
uzun,450
dikkat,449
ona,443
tepki,440
bütün,440
yeniden,440
olmak,438
birçok,436
ülke,436
durum,435
insan,434
cumhuriyet,433
yüzden,432
fiyatı,431
şimşek,431
söz,428
musunuz,428
mümkün,427
bence,426
haberi,425
kararı,424
bakan,419
herkes,417
üzere,412
kötü,408
yurt,408
merak,407
demek,405
maaş,402
dolar,402
ankara,399
kimi,398
yapıyor,397
dedik,397
fatih,396
erken,396
siyasi,394
ediyoruz,393
israil,393
büyükşehir,392
yılında,390
alan,387
yerine,387
ondan,385
gitti,385
ilişkin,385
dair,383
bakanlığı,383
sizin,381
fiyat,379
iddia,377
ediyorum,377
birazdan,376
gidiyor,375
yoksa,372
ikinci,370
kira,365
liralık,362
yılda,361
adım,361
yaklaşık,360
olsa,359
pahalı,357
zorunda,356
hak,354
anayasa,354
aylık,353
yakın,352
yazmış,349
sağlık,346
açık,345
imamoğlu,345
bahsediyoruz,344
buradan,344
maaşı,344
hayat,344
olmaz,343
muhalefet,343
net,343
istanbulda,342
güvenlik,342
tekrar,342
talep,337
varsa,336
önümüzdeki,336
dünya,335
herhalde,332
emekliye,332
allah,330
diyorlar,330
fiyatları,330
aile,329
rağmen,328
üzerinde,328
biliyor,326
vatandaş,326
kaç,325
enflasyonu,325
faiz,325
ayında,324
isim,324
ülkenin,323
yerde,323
boyunca,322
maliye,321
konusu,320
hazine,319
diyenler,319
medya,317
resmi,314
yandan,314
hayır,313
çay,313
arkadaş,312
lütfen,311
yol,310
yemek,308
cevap,308
tamam,307
yana,307
mustafa,306
alım,302
konuda,302
kilo,301
pek,301
kimse,301
emeklinin,300
bankası,299
mhp,299
liradan,298
fiyatlar,298
adam,297
yıllık,297
çocuk,297
altın,297
onların,296
çalışan,296
ali,295
sorduk,294
edeceğiz,293
den,293
suç,292
günlerde,292
bekliyor,291
ücrete,290
elbette,290
düşünüyorum,289
insanların,287
araya,287
temmuz,287
artış,287
dışı,287
hale,285
söylüyor,285
bilmiyorum,284
sonunda,284
edilen,283
yapacak,283
gerçek,283
ara,282
çalışıyor,279
yapmak,279
alındı,279
mücadele,279
