kelime,sıklık
zam,949
liraya,701
fiyatı,672
lira,592
anda,480
fiyat,447
lir,378
altın,364
liradan,329
artış,291
fiyatları,283
geçen,280
yüksek,277
fazla,276
yeni,276
fiyatlar,272
kilosu,263
emekli,242
asgari,223
pahalı,222
kredi,214
sene,211
gram,204
oranı,186
enflasyon,182
başladı,180
düşük,180
kilo,179
özel,179
ayında,177
tane,175
kira,172
para,167
aynı,166
arttı,166
iyi,165
isa,164
aylık,162
kuruş,159
yaklaşık,156
ücreti,151
çıktı,148
ücret,148
olduğu,147
hemen,143
ilk,140
büyük,140
liraydı,138
indirim,137
istanbulda,136
bile,135
liralık,134
konut,133
yükseldi,128
birlikte,128
lazım,124
yıllık,122
değişiyor,120
gelen,120
olması,119
itibaren,118
mesela,113
çıkıyor,111
olur,111
ortalama,110
geçtiğimiz,109
gece,109
ocak,108
durumda,106
milyon,106
altında,106
kartı,105
falan,103
lirayı,102
istanbul,101
artışı,100
lik,98
başlıyor,98
talep,98
oranında,97
tam,97
artan,96
satılıyor,96
kuru,95
litre,95
ayı,94
örneğin,94
süt,93
farklı,93
bence,92
faiz,92
memur,92
araç,92
düştü,91
fark,91
içinde,89
gerekiyor,89
türkiye,87
cumhurbaşkanı,87
ikinci,87
zor,87
satış,86
rekor,82
kaç,82
yapılacak,82
beraber,82
normal,82
ayda,81
civarında,81
balık,80
temmuz,80
güzel,80
uygun,79
çeyrek,79
tavuk,79
almak,78
ucuz,78
maliyeti,78
kuruşa,78
rakam,77
ramazan,77
maaşı,77
ilgili,77
ardından,76
tercih,74
başka,73
benim,73
tek,72
geçti,72
dün,72
altına,71
ekmek,71
yurt,71
itibariyle,70
düşüş,70
gidiyor,69
farkı,68
durum,68
ürün,67
tanesi,67
yatırım,67
dolar,67
bütün,67
zamla,67
üzerinde,66
yılın,66
sahipleri,66
aldı,66
yüzden,66
dikkat,66
kat,65
yeniden,65
maaş,65
erdoğan,65
görüyoruz,64
yapacak,64
neredeyse,64
doğru,64
aşağı,64
günü,63
kırmızı,63
bağkur,62
dolayı,62
aldım,62
baktığımızda,62
bulunduğumuz,62
işçi,61
gelecek,61
günlük,61
yarım,60
artıyor,60
yılda,60
düzenleme,60
kişi,60
eğitim,60
sınırı,59
nakit,59
piyasada,59
markette,58
geçerli,58
insanlar,58
olmak,57
sahibi,57
yaptı,57
çıkacak,57
alıyor,57
okul,57
bayram,57
market,56
bayağı,56
zamlı,56
düşünüyorum,56
alan,56
olsa,56
kimi,56
haziran,56
altını,55
milyar,55
önemli,55
vergi,55
maalesef,54
gerçekten,54
küçük,54
yapıyor,54
geri,54
ticaret,54
olduğunu,54
arası,54
herkes,53
liranın,53
ödeme,53
