kelime,sıklık
yeni,85
asgari,77
şimşek,75
türkiyenin,70
bakanı,67
türkiye,62
milyon,61
ilişkin,57
hazine,56
sosyal,56
genel,55
maliye,54
milyar,52
cumhurbaşkanı,51
fiyat,50
ilk,49
kredi,47
ücret,46
büyük,46
ilgili,43
yılın,42
yönelik,41
yüksek,41
önemli,41
bakan,41
emekli,41
yapılacak,40
düzenleme,40
ayında,40
erdoğan,40
enflasyon,40
türk,40
meclis,39
mehmet,39
fahiş,39
destek,38
liraya,37
yaptı,37
kanun,36
yaklaşık,36
artış,35
olduğunu,35
ticaret,35
birlikte,35
kira,35
bekleniyor,33
vergi,33
çalışma,32
ekonomi,31
ikinci,31
zam,30
başladı,30
enerji,28
iyi,28
istanbul,28
para,27
tespit,27
verilecek,26
geçen,26
kayıt,26
lira,26
yıllık,26
tasarruf,26
gelecek,25
dönemde,25
sene,25
güvenlik,24
aralık,24
konut,24
aylık,24
düşüş,24
dışı,23
vadeli,23
yılda,23
ülke,23
dolar,23
parti,23
düşük,23
inşallah,23
tek,22
ardından,22
mücadele,22
ayı,22
elde,22
aynı,21
teklifi,21
yılmaz,21
başkanı,21
fazla,21
türkiyede,21
ediyoruz,21
ceza,21
uluslararası,20
not,20
yılında,20
altında,20
gelen,20
olduğu,20
bulundu,19
dikkat,19
orta,19
konuştu,19
bütçe,19
vurguladı,19
yılı,19
alınacak,19
itibaren,19
hizmet,19
gelir,19
eğitim,19
altın,19
içinde,18
mali,18
enflasyonun,18
ciddi,18
önümüzdeki,18
özel,18
edilen,18
çalışan,17
liralık,17
kabul,17
uygun,17
teklifinin,17
yeniden,17
doğru,17
çekti,17
yakın,17
işçi,17
bakanlığı,17
yoğun,17
desteği,17
güzel,17
işletmelere,17
emeklilere,16
üzerinde,16
başlayacak,16
cevdet,16
sektör,16
anda,16
ekonomik,16
sermaye,16
talep,16
otomobil,16
kripto,16
edildi,15
üzere,15
merkez,15
kalıcı,15
aile,15
geçti,15
isa,15
yerli,15
günü,15
alacak,15
yapacak,15
programın,15
finansal,15
arttı,15
liradan,15
fiyatlar,15
ele,15
ihracat,15
alım,15
piyasası,15
oranı,15
cezası,15
edilecek,15
resmi,14
artıyor,14
olması,14
millet,14
yasa,14
hava,14
kamu,14
yardımcısı,14
başkan,14
farklı,14
durumda,14
kişi,14
den,14
gıda,14
ayda,14
alan,14
vedat,14
büyükşehir,14
uzun,14
bayram,14
savunma,14
olmak,13
derecelendirme,13
kuruluşu,13
artışı,13
işaret,13
bütün,13
olumlu,13
kapsamında,13
alıyor,13
altına,13
yol,13
enflasyonda,13
küresel,13
ocak,13
dünya,13
tarafından,13
başka,13
bulunan,13
sanayi,13
memur,13
durum,13
kısa,13
borsa,13
gerekiyor,13
reel,13
temmuz,13
birçok,13
fiyatla,13
sahipleri,13
uygulanan,13
turizm,13
ücreti,13
süre,13
ramazan,13
uygulanacak,13
araç,13
açıklamada,12
vereceğiz,12
geri,12
düştü,12
işveren,12
araya,12
ara,12
meclise,12
enflasyona,12
fiyatları,12
hızlı,12
oyun,12
gelin,12
izleyelim,12
piyasa,12
toplam,12
istanbulda,12
ssk,12
bağkur,12
başında,12
yerine,12
ankara,12
balık,12
meslek,12
nisan,12
kamuda,12
ödeme,11
notunu,11
edeceğiz,11
cari,11
enflasyonu,11
sürüyor,11
milli,11
maddelik,11
kurulunda,11
görüşmelerine,11
cezalar,11
türkiyeye,11
sahip,11
güçlü,11
nüfus,11
fiyatı,11
bile,11
recep,11
tayyip,11
erdoğanın,11
kapsamda,11
oranında,11
günlük,11
kontrol,11
çıktı,11
denetim,11
önceki,11
üzerinden,11
değer,11
sahibi,11
yasal,11
antalya,11
depozito,11
fatih,11
değerlendirme,11
dair,11
vergisi,11
nisanda,11
satın,11
ekim,11
gözler,10
konusunda,10
etmek,10
deprem,10
gerçekten,10
doğalgaz,10
artırılması,10
gündeminde,10
teklifle,10
artırılacak,10
tam,10
söz,10
genç,10
yana,10
gidiyor,10
merkezi,10
kurulda,10
kurul,10
dahil,10
kurulu,10
grup,10
yatırım,10
uzmanlar,10
dolara,10
alanında,10
bulunuyor,10
konuda,10
güne,10
dönem,10
artırmaya,10
çıkıyor,10
maaş,10
turist,10
verdi,10
sonrası,10
bakanlığının,10
mesela,10
kurban,10
elektrikli,10
teklifin,9
risk,9
kuruluş,9
büyüme,9
evlenecek,9
sağlanacak,9
artacak,9
zamanda,9
yıllarda,9
arasındaki,9
görüşmeleri,9
medya,9
konusu,9
komisyonu,9
açık,9
vurgu,9
mayıs,9
dolayı,9
pazar,9
adına,9
öncesi,9
dolarlık,9
sektöründe,9
dünyanın,9
olacağını,9
düşünüyorum,9
civarında,9
aşağı,9
doğrudan,9
getirdi,9
finans,9
altını,9
takip,9
toplamda,9
bence,9
aldı,9
çalışmaları,9
anlattı,9
internet,9
satış,9
sunulacak,9
belediye,9
ettiği,9
karahan,9
görev,9
ortalama,9
katkı,9
tarım,9
eleman,9
yarısından,9
hemen,9
kakao,9
kapatma,9
proje,9
araba,9
başkanlığına,9
almak,9
daire,9
konuya,8
gelmesi,8
hedefleniyor,8
açıklama,8
bankasının,8
ayrıca,8
eylül,8
kaldı,8
gençlik,8
gençlere,8
şubat,8
petrol,8
noktasında,8
oldukça,8
teklifte,8
faiş,8
düzenlemeyle,8
gündemde,8
yerel,8
seçim,8
trt,8
enflasyonla,8
refah,8
bekliyoruz,8
katıldı,8
haziran,8
sayesinde,8
milyonlarca,8
sayın,8
net,8
etkili,8
mesai,8
gündeme,8
yapıyor,8
istihdam,8
ücretin,8
fiyatlarının,8
taraftan,8
gücü,8
açısından,8
düşüşün,8
isteyen,8
olanlar,8
ediliyor,8
ekonomiye,8
yatırımcıların,8
ücrette,8
toplantısında,8
geçtiğimiz,8
kararı,8
lir,8
hareket,8
stokçuluk,8
ürün,8
üretim,8
ila,8
anlamda,8
emeklilerin,8
yargı,8
antalyada,8
belirlendi,8
işlem,8
yenilenebilir,8
hizmetler,8
ışıkkan,8
bilgi,8
kullandı,8
dezenflasyon,8
hizmeti,8
pek,8
savaş,8
ihtiyaç,8
ekonomisine,8
dış,8
tercih,8
kurumlar,8
fırsatı,8
boyunca,8
varlık,8
kuru,8
