kelime,sıklık
yeni,2365
ilgili,2217
büyük,2053
anda,2046
ilk,1914
olduğu,1870
israil,1701
türkiye,1675
önemli,1618
başkanı,1610
çıktı,1568
birlikte,1532
genel,1530
özel,1499
ardından,1484
aynı,1455
iyi,1397
olduğunu,1397
cumhurbaşkanı,1381
ortaya,1370
kişi,1363
hemen,1333
sosyal,1251
başladı,1241
fazla,1231
yaptı,1211
verdi,1121
tek,1061
türk,1051
parti,1048
tarafından,1041
gelen,1039
söz,1029
tam,1026
doğru,1003
başka,998
edildi,990
istanbul,977
bile,968
para,968
zam,958
enflasyon,948
devlet,948
birçok,925
yüksek,919
erdoğan,917
aldı,914
konusu,898
dikkat,892
bütün,891
üzerine,887
asgari,869
durum,869
bakanı,863
güvenlik,856
içinde,855
fakat,831
özgür,821
ilişkin,821
emekli,811
türkiyenin,800
ana,800
sayın,799
açıklama,791
milli,789
haber,778
hiçbir,773
lira,769
farklı,769
chp,760
altın,748
polis,748
altında,746
içerisinde,746
kadın,746
belediye,737
gerçekten,735
benim,733
geçen,731
yönelik,731
olay,728
lazım,727
liraya,718
tekrar,718
olması,715
cumhuriyet,711
ciddi,710
bakın,708
geçti,702
şunu,701
durumda,700
yaklaşık,695
suç,692
milyon,687
sağlık,678
dün,676
terör,673
başkan,670
israilin,667
isa,661
kaldı,654
karar,654
uzun,650
neler,650
üzerinden,649
üzerinde,643
sonrasında,642
üzere,639
ediyoruz,638
alındı,636
takip,633
gerekiyor,624
olabilir,624
biliyorsunuz,620
net,611
aylık,609
yaşındaki,609
savunma,607
kısa,598
yandan,597
yerine,597
çocuk,596
türkiyede,595
lideri,594
sıcak,589
amerika,588
ceza,584
artış,578
geri,578
düşük,576
yeniden,574
kabul,570
güzel,568
bulundu,567
oldukça,565
olmak,565
olur,562
hala,557
hava,553
gelecek,548
günü,548
eski,545
genç,543
mehmet,538
merak,537
aile,536
tespit,527
hayatını,527
iran,524
yoğun,521
çıkan,519
saldırı,519
ücret,516
ikinci,509
yakın,507
herhangi,507
bakanlığı,505
halk,505
nedeniyle,501
savaş,501
siyasi,496
kişinin,495
faiz,492
fiyat,491
kira,491
süreç,489
alan,489
yaşandı,488
çalışma,488
hizbullah,488
medya,486
istanbulda,485
eğitim,485
osman,485
zamanda,484
ağır,484
partisi,483
kredi,478
edilen,478
bey,476
pek,473
anne,472
gözaltına,472
maalesef,470
yüzden,469
etmek,468
teşekkür,468
arada,468
narin,468
dünya,464
iddia,464
merkez,463
kararı,463
yol,463
hakkında,463
bunların,459
süre,459
ayında,458
altına,456
soruşturma,456
mesela,454
talep,454
ediyorum,452
süreci,451
sonrası,451
ait,449
sahibi,448
herkes,445
ona,444
dakika,444
konuda,443
tane,442
rağmen,442
görüntüler,440
hale,438
dönemde,438
soru,437
grup,437
ekipleri,437
yıllık,435
noktada,434
sene,429
tepki,429
dışı,426
araç,426
gitti,422
bulunan,421
önümüzdeki,420
girdi,418
dair,418
durumu,416
güran,413
araya,412
temmuz,410
meclis,407
ali,407
gece,406
narinin,406
bilgi,404
önüne,401
seçim,399
istiyorum,399
mücadele,398
açık,398
itibariyle,397
den,397
düştü,396
tablo,396
konu,394
hedef,393
mahkeme,393
çekti,392
yere,392
insan,391
tahliye,391
ele,389
can,389
bununla,387
geçtiğimiz,382
ettiği,382
beraber,382
kontrol,381
lir,381
bizi,381
adam,380
mümkün,379
değerli,379
bakalım,375
buradan,375
vergi,372
getirdi,370
dışında,370
destek,370
konusunda,369
konuştu,367
yerde,367
edeceğiz,366
yapıyor,365
istedi,364
yana,363
zor,363
yangın,362
yavaş,361
altını,360
memur,360
kaybetti,360
üst,358
ekipler,358
yılında,357
küçük,357
yaşanan,356
dile,355
ankara,354
insanlar,353
sizin,352
süreçte,352
oranı,351
fiyatları,351
sayısı,351
önceki,349
yurt,349
hakim,349
müdahale,345
sağ,344
haliyle,343
ediliyor,341
erdoğanın,340
neredeyse,338
varsa,336
hangi,335
bunları,335
dünyanın,335
haberi,335
bahçeli,334
yoksa,333
edelim,333
adli,333
diyebiliriz,332
fark,332
yılın,331
kötü,331
ayrıca,330
buraya,330
bakan,329
demek,329
henüz,329
adalet,329
çıkıyor,329
türkiyeye,329
yapılacak,328
ayrı,328
bölgede,328
dolar,327
boyunca,327
hareket,326
almak,326
onların,326
adeta,326
gereken,324
eylem,324
karşıya,323
millet,323
sevk,323
konut,321
mhp,321
hoş,320
dolayı,319
kendini,318
izleyenler,318
yasa,317
murat,317
sürüyor,317
fiyatı,316
ateş,316
tehdit,316
milyar,314
yapmak,314
salim,314
yanıt,313
adım,312
gösterdi,311
dava,310
arama,310
olsa,309
bekleniyor,308
önünde,307
sabah,306
döndü,306
kimse,305
sert,305
olmadığını,304
isim,304
kimi,304
israile,304
bulunduğu,303
serbest,303
uygun,302
alıyor,301
meydana,301
büyükşehir,301
cezası,300
tamamen,300
elde,299
anlattı,299
buradaki,299
hastaneye,299
çıkacak,298
göz,298
amerikan,298
itibaren,297
diyelim,297
attı,297
fiyatlar,296
günlerde,296
tanesi,296
öne,296
ayı,295
türlü,295
kız,294
resmi,293
akşamlar,293
kullandı,293
sürekli,293
ondan,293
açısından,293
askeri,293
söylüyor,291
sahip,291
maaş,289
görüyoruz,289
sonunda,288
burası,288
örgütü,288
gerçek,287
gündeme,287
alınan,287
akşam,286
harekete,285
başta,285
silahlı,285
açıklamalar,283
polat,283
bekliyor,282
sonraki,282
olmadığı,282
tartışma,282
yaralandı,281
gram,280
birleşik,280
dahil,278
başında,278
elbette,278
silah,278
kendisine,277
medyada,276
çocuklar,276
yanlış,275
zorunda,275
ortak,274
aldığı,274
hapis,274
ahmet,274
erken,273
veriyor,272
avrupa,272
nokta,271
kesinlikle,271
zarar,271
trump,271
hazine,270
verildi,270
ülke,270
olursa,269
verdiği,269
maliye,268
beni,268
şüpheli,268
sokak,267
anlar,267
başına,266
arasındaki,266
sırasında,265
çalışan,265
baba,265
bence,264
falan,264
bahçelinin,264
tutuklu,264
sonu,263
ara,263
binlerce,263
yakalandı,263
gelir,262
fatih,262
teşekkürler,261
onları,261
deniz,261
gelişmeleri,261
görüşme,261
uluslararası,260
adı,260
bekliyoruz,259
çağrı,259
vurdu,259
arttı,258
ücreti,258
üstüne,258
tarihi,258
düşünüyorum,258
noktaya,258
yardım,257
ekonomi,256
işin,256
çalışıyor,256
vatandaş,256
çalıştı,256
rakam,255
benzer,255
eylül,253
oradan,253
uzmanlar,253
okul,253
ziyaret,253
yanında,252
adına,252
teslim,252
olmayan,251
öncesinde,251
dahi,250
kapsamında,250
diyoruz,250
sayıda,250
jandarma,249
abd,248
bankası,247
kayıt,247
şehit,246
gidiyor,245
ekim,245
madde,244
canlı,244
olmadı,244
yükseldi,242
yılı,242
ekrana,242
tercih,241
sonuna,240
izleyelim,240
doktor,240
dilan,240
sahte,237
kemal,237
duyurdu,237
başlıyor,236
kara,236
yılmaz,235
gerektiğini,235
yerinde,235
sürdü,235
düzenleme,235
yaz,235
günlük,234
yardımcısı,234
yemek,234
mevcut,234
yıla,233
işaret,233
tamam,233
karşısına,233
dünyada,231
kurulu,231
buldu,231
öncelikle,230
gelişmeler,230
barış,230
elektrik,229
liralık,229
açtı,229
maaşı,228
bugüne,228
kalan,228
deprem,228
ilan,226
istiyor,226
başlayan,226
kritik,225
inşallah,225
trafik,225
evde,225
iranın,225
kübra,225
mal,224
gelişme,224
hızlı,223
yılda,223
gözler,223
şeyler,223
şeyi,223
paylaştı,223
dedim,223
sizlerle,222
iade,222
azından,222
duruşma,222
baktığımızda,221
görüntüleri,221
içişleri,221
saldırgan,221
nevzat,221
kendisi,220
lübnan,220
çeken,219
ortalama,219
mutlaka,219
kaza,218
şeklinde,218
kamu,218
hamas,218
ocak,217
liradan,217
toplam,217
dönem,217
onlara,217
isteyen,217
doğrusu,217
rusya,217
terörist,217
çelik,216
nedir,215
abi,215
yapılması,215
veren,215
ankarada,215
şimşek,214
yapılıyor,214
ömer,214
ekonomik,213
sınır,213
çözüm,213
bölgeye,213
dışişleri,213
sözü,212
bazen,212
olanlar,212
haberde,212
alacak,211
toplantısında,211
yatırım,211
güranın,211
normal,210
diyorlar,210
kırmızı,210
kayyum,210
çalışmaları,209
herkesin,209
dört,208
vardır,208
bayram,208
örgüt,208
engin,207
düşüş,206
sistemi,206
yabancı,206
geçmiş,206
eşi,206
kan,206
olayın,206
gündem,206
dolu,206
aralarında,205
timur,205
cihan,205
bilmiyorum,204
güçlü,204
konuşuyoruz,204
hayır,204
sık,204
kapalı,203
cevap,203
milletvekili,203
olmaz,202
oranında,202
olup,202
oraya,202
izin,202
saatlerinde,202
yaşanıyor,202
hizbullahın,202
içine,201
gerek,201
olunca,201
recep,200
sona,200
geldik,200
derece,200
telefon,200
yapay,200
orta,199
konuyla,199
yıldır,199
insanların,199
etmeye,199
yaşında,199
çocuğu,199
birazdan,199
zira,199
özelin,199
ekrem,199
beri,198
temel,198
bağlı,198
diyerek,198
ilginç,198
tutuklandı,198
mecliste,197
sıra,197
basın,197
tayyip,196
ediyorlar,196
geldiniz,195
hanım,195
yapmış,195
taraftan,195
meselesi,195
muhalefet,195
aracı,195
vatandaşlar,195
sürücü,195
normalleşme,194
ailesi,194
artıyor,193
gördük,193
karşısında,193
rapor,193
banka,192
sürede,192
yeri,192
ağustos,192
eve,192
mevduat,192
çocukların,192
gösteriyor,192
amca,192
verilen,191
hizmet,191
yansıdı,191
sebep,191
tür,191
istiyoruz,191
ürün,191
siyaset,191
yaralı,191
tıp,191
yukarı,190
milyonlarca,190
ticaret,190
katıldı,190
konuşacağız,190
oradaki,190
nedenle,190
kendisini,190
kurban,189
operasyon,189
sanık,189
ünlü,189
kişiler,188
mutlu,188
dış,188
suriye,188
mansur,188
üstünde,187
mesajı,187
kaydı,187
cep,187
acı,187
lik,186
bak,186
sonuç,185
kaç,185
örnek,185
sonucu,185
filistin,185
asla,184
futbol,184
canan,184
noktasında,183
çalışmalar,183
yapacak,183
okula,183
aday,183
olmuştu,182
pkk,182
emre,182
haziran,181
sahipleri,181
açıklamaları,181
dediğimiz,181
bölge,181
halinde,181
emniyet,181
gündeminde,180
bilgiler,180
duruma,180
şiddet,180
izmir,180
inceleme,180
kenan,180
terörle,180
yolu,179
geniş,179
korku,179
başlayacak,178
kar,178
gerekli,178
kolay,178
görev,178
allah,178
arkadaşlar,178
gel,178
orman,178
birleşmiş,178
imza,177
aşırı,177
söyleyeyim,177
ettiler,177
edilmesi,177
doğu,177
giden,177
kadının,177
hesabından,176
işçi,176
olun,176
gördü,176
ordusu,176
sevgili,175
aşağı,175
çocuğun,175
biden,175
biliyoruz,174
değildir,174
lütfen,174
itiraz,174
gözü,174
ödeme,174
söylüyorum,173
açıkçası,173
evi,173
ülkenin,173
geride,173
ses,173
sorun,172
kere,172
hukuk,172
mustafa,172
gönderildi,172
kavga,172
olumlu,171
yasal,171
raporu,171
baş,171
söylemek,170
beyaz,170
füze,170
devreye,169
bebek,169
birlik,169
getirildi,169
söyleyelim,169
partisinin,169
anları,169
sizi,168
savaşı,168
ifadeler,168
acil,168
civarında,167
dışına,167
kök,167
haline,167
ukrayna,167
yaşayan,167
istihbarat,167
olacağız,166
üstelik,166
vatandaşın,166
boş,166
meclisi,166
saldırdı,166
artışı,165
kişiyi,165
işareti,165
ettik,165
yerel,165
görüntü,165
kat,164
bugünkü,164
hepsini,164
ölüm,164
vermek,164
temmuzda,164
anayasa,164
yargı,163
asıl,163
kaldırıldı,163
annesi,163
hazır,162
takım,162
senin,162
musunuz,162
açıldı,162
içeride,162
gizli,162
anlamda,161
diliyorum,161
derken,161
bitti,161
güvenli,161
hocam,161
ettiğini,161
hakikaten,160
artan,160
dijital,160
saldırının,160
yunus,160
yüksel,160
yazık,159
almaya,159
bahsediyoruz,159
dediğim,159
parayı,159
türkiyeyi,159
çocukları,159
saatler,159
verecek,159
hayvan,159
lübnanın,159
cansız,159
hak,158
alanda,158
yoktu,158
adresi,158
sefer,158
çeşitli,158
kiracı,157
biliyor,157
gündemde,157
ikisi,157
kaçak,157
korkunç,157
vadeli,156
belirlendi,156
rakamlar,156
alıp,156
toplantısı,156
açıklamada,156
devrim,156
hayata,155
politika,155
sebebi,155
açıklaması,155
rahat,155
sistem,155
yaşadı,155
elinde,155
çarpıcı,155
günde,155
kadarıyla,155
sanayi,155
oğlu,155
olası,154
vesaire,154
toplantı,154
peş,154
peşe,154
demişti,154
yan,154
otomobil,154
kalın,154
belediyesi,154
çapoğlu,154
partinin,154
etkisiz,154
öldü,154
halde,153
mesaj,153
tehlike,153
servis,153
sivil,153
diyarbakır,153
etmiş,152
hakkı,152
ülkede,152
bulunuyor,152
küresel,152
yerden,152
tarım,152
öncesi,152
ederken,152
gören,152
enflasyonun,151
kurumu,151
ortasında,151
alakalı,151
dinleyelim,151
cenaze,151
haniye,151
yönünde,150
yolda,150
herhalde,150
bomba,150
konuşma,150
bilgileri,150
esenyurt,150
suçundan,150
cezaevine,150
imamoğlu,150
çoğu,149
başı,149
aldık,149
hal,149
konuya,149
cinayet,149
aralık,148
tüketici,148
işi,148
geldiği,148
bakacağız,148
olayı,147
yanı,147
mesele,147
geçiyor,147
yapmaya,147
neyse,147
günün,147
uyuşturucu,147
enflasyonu,146
farkı,146
açıklandı,146
vurguladı,146
bıraktı,146
ifadeleri,146
suçu,146
öğrenci,146
tedavi,146
cezaevinde,146
hızla,145
kasım,145
gıda,145
evine,145
kalmadı,145
trumpın,145
görüldü,144
emekliler,144
gününde,144
hesap,144
gerekir,144
umut,144
bastı,144
kaçtı,144
saldırıya,144
ücrete,143
hasar,143
değildi,143
hepimiz,143
sizlere,143
gelin,143
oranları,142
ortadan,142
bakanlık,142
yerli,142
sözleri,142
yapıyorlar,142
darp,142
sana,142
siber,142
işlem,141
tahmin,141
etmesi,141
dedik,141
ayda,141
talebi,141
bizden,141
süren,141
iddiaya,141
muhtemelen,141
şikayetçi,141
piyasa,140
refah,140
panik,140
ucuz,140
davası,140
mesajlar,140
gazzede,140
anadolu,140
puan,139
yaş,139
konuyu,139
tarih,139
bizimle,139
yakından,138
döneminde,138
oyun,138
konuşuluyor,138
çarptı,138
internet,138
havada,138
evinde,138
duruşmada,138
habere,138
ibrahim,138
babası,138
göreceğiz,137
devletin,137
sınırı,137
yola,137
demir,137
donald,137
komisyon,136
ailenin,136
fırsat,136
gündür,136
tatil,136
yayın,136
gidelim,136
chpli,136
bölgedeki,136
ifadesi,136
teknik,135
yoktur,135
ifadesini,135
ihtimali,135
beklentisi,135
cumhuriyeti,135
aktardı,135
çıkardı,135
gelmiş,135
onlardan,135
iddialar,135
saldırısı,135
cinsel,135
karşılık,134
uygulama,134
etkisi,134
toplu,134
durumunda,134
bağkur,134
yerini,134
birliği,134
geç,134
gazze,134
polatın,134
iletişim,134
sertaç,134
kişiye,133
aylığı,133
yayınlar,133
kartı,133
üyesi,133
esnaf,133
gelmişti,133
dışarı,133
dakikalar,133
üyeleri,133
lübnanda,133
onlarca,133
çıkmış,132
giren,132
kabine,132
sorunu,132
diyorum,132
alınması,132
dışarıda,132
spor,132
liranın,131
kişilerin,131
doğal,131
olmasına,131
sürece,131
ederek,131
ifadelerini,131
bina,131
saldırıda,131
çağrısı,130
bütçe,130
yatırımcı,130
gelelim,130
ederim,130
hayat,130
başlattı,130
fahiş,130
günler,130
telefonu,130
polisi,130
almış,129
vermiş,129
gelmesi,129
rekor,129
koydu,129
birisi,129
yeterli,129
evin,129
eylülde,129
söyleyebiliriz,129
gördüğünüz,129
kameraman,129
polisler,129
kalıcı,128
ulaştı,128
alışveriş,128
lirayı,128
görüyorsunuz,128
etmişti,128
yerlikaya,128
katil,128
milletler,128
havadan,128
üniversite,128
doğrudan,127
alınacak,127
günlerdir,127
kalabalık,127
kuzey,127
bakanlığının,126
özür,126
ssk,126
olacağını,126
satış,126
bunlara,126
dem,126
değişikliği,126
zeka,126
araştırma,126
gerçekleşti,125
olma,125
birbirine,125
kaldığı,125
indirim,125
şikayet,125
izmirde,125
chpnin,125
belirtildi,125
düzenlenen,125
olduğuna,125
davet,125
fotoğraf,125
masak,125
par,125
beklenen,124
hedefi,124
yapıldığı,124
ekibi,124
olmasını,124
tarafında,124
yaptılar,124
ilerleyen,124
birden,124
kesin,124
şehir,124
satın,123
defalarca,123
hükümet,123
işe,123
görüşmeler,123
oranda,123
tıpkı,123
yönde,123
amerikada,123
terk,123
mağdur,123
dediler,123
güvenliği,123
savcılık,123
ikili,123
ayakta,123
araçlar,123
elini,123
köy,123
suikast,123
verileri,122
çıkış,122
kayıp,122
lüks,122
sözcüsü,122
öğretim,122
türkiyedeki,122
darbe,122
ayağa,122
hastanede,122
yapacağız,121
